111,1192981,2646966,現金,1453985,0,
113,-4555,0,普通預金,4555,0,
122,512255,732255,売掛金,220000,0,
134,67890,67890,車両運搬具,0,0,
135,566,566,工具器具備品,0,0,
139,151200,151200,償却資産,0,0,
151,1337899,1337899,事業主貸,0,0,
100,3258236,4936776,,1678540,0,
214,0,0,借入金,67890,67890,
215,0,0,前受金,566,566,
200,0,0,,68456,68456,
323,0,0,元入金,2889099,2889099,
300,0,0,,2889099,2889099,
411,0,0,売上(報酬）,89067,89067,
412,0,0,売上(製品）,332255,332255,
400,0,0,,421322,421322,
511,55688,55688,仕入　　,0,0,
513,8888,8888,荷造運賃,0,0,
515,54565,54565,接待交際費,0,0,
517,1500,1500,旅費交通費,0,0,
500,120641,120641,,0,0,
0,3378877,5057417,,5057417,3378877,
