111,現金,01/01 1001,323,元入金,前年から移行,2337899,0,D,2337899,
111,現金,01/02 1005,151,事業主貸,事業費調整,0,1337899,D,1000000,
111,現金,01/20 1006,122,売掛金,入金（善光）,220000,0,D,1220000,
111,現金,01/31 1007,517,旅費交通費,aaa,0,1500,D,1218500,
111,現金,02/04 1008,515,接待交際費,aaa33445566,0,5566,D,1212934,
111,現金,02/05 1009,513,荷造運賃,hhhuuu,0,8888,D,1204046,
111,現金,02/09 1010,411,売上(報酬）,ggttyyy,88990,0,D,1293036,
111,現金,02/10 1011,411,売上(報酬）,oo,77,0,D,1293113,
111,現金　　,02/12 1017,515,接待交際費,kkjjjjj,0,44444,D,1248669,
111,現金　　,02/12 1018,511,仕入　　,gggggg,0,55688,D,1192981,
113,普通預金,02/13 1014,515,接待交際費,jhg,0,4555,D,-4555,
122,売掛金,01/01 1002,323,元入金,前年から移行（善光）,400000,0,D,400000,
122,売掛金,01/20 1006,111,現金,入金（善光）,0,220000,D,180000,
122,売掛金,02/11 1012,412,売上(製品）,2-11 a,332255,0,D,512255,
134,車両運搬具,02/12 1013,214,借入金,aassdd 2/12,67890,0,D,67890,
135,工具器具備品,02/14 1016,215,前受金,hgf,566,0,D,566,
139,償却資産,01/01 1004,323,元入金,PC(FMVA53c2HB)残3年半,151200,0,D,151200,
151,事業主貸,01/02 1005,111,現金,事業費調整,1337899,0,D,1337899,
214,借入金,02/12 1013,134,車両運搬具,aassdd 2/12,0,67890,C,67890,
215,前受金,02/14 1016,135,工具器具備品,hgf,0,566,C,566,
323,元入金,01/01 1001,111,現金,前年から移行,0,2337899,C,2337899,
323,元入金,01/01 1002,122,売掛金,前年から移行（善光）,0,400000,C,2737899,
323,元入金,01/01 1004,139,償却資産,PC(FMVA53c2HB)残3年半,0,151200,C,2889099,
411,売上(報酬）,02/09 1010,111,現金,ggttyyy,0,88990,C,88990,
411,売上(報酬）,02/10 1011,111,現金,oo,0,77,C,89067,
412,売上(製品）,02/11 1012,122,売掛金,2-11 a,0,332255,C,332255,
511,仕入　　,02/12 1018,111,現金　　,gggggg,55688,0,D,55688,
513,荷造運賃,02/05 1009,111,現金,hhhuuu,8888,0,D,8888,
515,接待交際費,02/04 1008,111,現金,aaa33445566,5566,0,D,5566,
515,接待交際費,02/12 1017,111,現金　　,kkjjjjj,44444,0,D,50010,
515,接待交際費,02/13 1014,113,普通預金,jhg,4555,0,D,54565,
517,旅費交通費,01/31 1007,111,現金,aaa,1500,0,D,1500,
